Slide_ID	Position_ID	Cell_ID	Cell_Center_X	Cell_Center_Y	Cell_Area	Marker_States
NA	NA	257.0	1852.8875	1200.2273	443	20102010202020
NA	NA	258.0	1855.7839	858.3563	443	10102000102010
NA	NA	259.0	787.63403	1261.405	443	20102020201010
NA	NA	260.0	1747.5248	1569.8285	443	10101010101010
NA	NA	261.0	592.43335	1731.065	443	10201010201010
NA	NA	262.0	891.4599	607.7027	443	00101000101010
NA	NA	263.0	1700.6066	1045.9266	443	00201000201010
NA	NA	264.0	736.9743	1107.5729	443	00100010001010
NA	NA	265.0	1569.876	926.1497	443	10201000201020
NA	NA	266.0	1559.7723	1846.0962	443	10101010101010
NA	NA	267.0	1903.119	1633.5453	443	00000000000000
NA	NA	268.0	1702.5254	616.83	443	20002000202020
NA	NA	269.0	944.6095	1396.7917	443	10100020101010
NA	NA	270.0	1722.5574	1803.6486	443	10102010201020
NA	NA	271.0	698.2052	894.46265	443	00202010201010
NA	NA	272.0	1289.229	794.9478	443	10201010202020
NA	NA	273.0	800.63257	1532.9144	443	20202020202020
NA	NA	274.0	1486.6005	1707.6492	443	00101020201010
NA	NA	275.0	1525.4371	1902.0431	443	00001010101010
NA	NA	276.0	717.87036	1209.988	443	20101010201010
NA	NA	277.0	1115.0929	2030.7974	443	20000020102020
NA	NA	278.0	945.8874	1893.1635	443	00000020000000
NA	NA	279.0	1493.2557	1671.9927	443	10201020201010
NA	NA	280.0	1191.6459	1938.4005	443	10000020201010
NA	NA	281.0	940.5718	657.67236	443	10202000201010
NA	NA	282.0	1740.2972	1141.7642	443	10102010201020
NA	NA	283.0	1733.479	1092.1737	443	10202000201020
NA	NA	284.0	860.73364	531.905	443	20202000101010
NA	NA	285.0	717.25995	1171.0436	443	20202020202020
NA	NA	286.0	1537.4336	1926.5176	443	10101010101010
NA	NA	287.0	1084.6843	1434.1119	443	20201020202020
NA	NA	288.0	1279.1748	1603.4327	443	00000020100000
NA	NA	289.0	1800.0515	1091.7346	443	00000000200000
NA	NA	290.0	1193.577	1964.9142	443	00000010201010
NA	NA	291.0	803.1129	1306.3071	443	10000020000000
NA	NA	292.0	861.58344	991.85986	443	00200020101010
