Cell_ID,Cell_Center_X,Cell_Center_Y,pS6235_Nuc_Mean,pS6235_Nuc_Std,pS6235_Nuc_Median,pS6235_Nuc_Max,pS6235_Cell_Mean,pS6235_Cell_Std,pS6235_Cell_Median,pS6235_Cell_Max,DAPI_Nuc_Mean,DAPI_Nuc_Std,DAPI_Nuc_Median,DAPI_Nuc_Max,DAPI_Cell_Mean,DAPI_Cell_Std,DAPI_Cell_Median,DAPI_Cell_Max,pERK_Nuc_Mean,pERK_Nuc_Std,pERK_Nuc_Median,pERK_Nuc_Max,pERK_Cell_Mean,pERK_Cell_Std,pERK_Cell_Median,pERK_Cell_Max,S6_Nuc_Mean,S6_Nuc_Std,S6_Nuc_Median,S6_Nuc_Max,S6_Cell_Mean,S6_Cell_Std,S6_Cell_Median,S6_Cell_Max,p4EBP1_Nuc_Mean,p4EBP1_Nuc_Std,p4EBP1_Nuc_Median,p4EBP1_Nuc_Max,p4EBP1_Cell_Mean,p4EBP1_Cell_Std,p4EBP1_Cell_Median,p4EBP1_Cell_Max,NaKATPase_Nuc_Mean,NaKATPase_Nuc_Std,NaKATPase_Nuc_Median,NaKATPase_Nuc_Max,NaKATPase_Cell_Mean,NaKATPase_Cell_Std,NaKATPase_Cell_Median,NaKATPase_Cell_Max,E_cad_Nuc_Mean,E_cad_Nuc_Std,E_cad_Nuc_Median,E_cad_Nuc_Max,E_cad_Cell_Mean,E_cad_Cell_Std,E_cad_Cell_Median,E_cad_Cell_Max
830.0,1602.8899,982.45874,321.90366,101.199524,313.0,724.0,0.0,0.0,0.0,0.0,1584.0092,342.9299,1639.0,2214.0,0.0,0.0,0.0,0.0,208.4679,157.44081,220.0,655.0,0.0,0.0,0.0,0.0,1460.0321,423.9057,1409.5,2396.0,0.0,0.0,0.0,0.0,287.30734,79.931175,282.5,679.0,0.0,0.0,0.0,0.0,895.9358,531.4335,747.5,2608.0,0.0,0.0,0.0,0.0,1007.9541,589.7602,925.0,2913.0,0.0,0.0,0.0,0.0
831.0,1459.1014,526.02765,538.92163,353.25034,421.0,1859.0,0.0,0.0,0.0,0.0,1146.5714,508.26367,1336.0,2066.0,0.0,0.0,0.0,0.0,168.04147,112.9787,162.0,443.0,0.0,0.0,0.0,0.0,726.447,216.60756,677.0,1651.0,0.0,0.0,0.0,0.0,187.91705,43.212715,185.0,323.0,0.0,0.0,0.0,0.0,508.37787,215.27411,454.0,1024.0,0.0,0.0,0.0,0.0,39.42396,32.707966,34.0,184.0,0.0,0.0,0.0,0.0
832.0,1273.7222,1088.7361,365.0926,260.40982,252.5,1630.0,0.0,0.0,0.0,0.0,1822.3982,436.05762,1757.5,2694.0,0.0,0.0,0.0,0.0,147.40741,117.47049,135.5,421.0,0.0,0.0,0.0,0.0,1548.4028,191.04483,1474.0,2216.0,0.0,0.0,0.0,0.0,192.21759,44.14018,189.5,330.0,0.0,0.0,0.0,0.0,592.14813,312.27344,601.5,1705.0,0.0,0.0,0.0,0.0,69.64352,59.28898,60.0,499.0,0.0,0.0,0.0,0.0
833.0,1151.9954,1478.6884,322.32092,119.30607,308.0,727.0,0.0,0.0,0.0,0.0,1575.4326,323.23132,1609.0,2524.0,0.0,0.0,0.0,0.0,167.0186,135.5207,144.0,596.0,0.0,0.0,0.0,0.0,2202.079,409.74774,2076.0,3275.0,0.0,0.0,0.0,0.0,315.46048,67.2,314.0,502.0,0.0,0.0,0.0,0.0,1745.6,1281.6289,1714.0,5948.0,0.0,0.0,0.0,0.0,1006.7628,881.11835,749.0,3986.0,0.0,0.0,0.0,0.0
834.0,1891.1776,136.76636,38.78972,25.556017,38.0,115.0,0.0,0.0,0.0,0.0,25.088785,8.2102375,23.0,50.0,0.0,0.0,0.0,0.0,42.88318,34.532124,42.0,129.0,0.0,0.0,0.0,0.0,88.014015,39.780293,90.0,195.0,0.0,0.0,0.0,0.0,5.037383,9.774968,1.0,59.0,0.0,0.0,0.0,0.0,3.766355,8.8339615,1.0,60.0,0.0,0.0,0.0,0.0,18.929907,18.992123,13.5,77.0,0.0,0.0,0.0,0.0
835.0,1940.3192,1409.986,357.0892,78.1619,348.0,599.0,0.0,0.0,0.0,0.0,445.5446,164.0546,464.0,712.0,0.0,0.0,0.0,0.0,306.7371,151.42514,310.0,742.0,0.0,0.0,0.0,0.0,900.0141,93.16569,896.0,1136.0,0.0,0.0,0.0,0.0,110.06573,42.468826,109.0,215.0,0.0,0.0,0.0,0.0,494.88733,83.798584,500.0,717.0,0.0,0.0,0.0,0.0,1.2112676,2.0912213,1.0,25.0,0.0,0.0,0.0,0.0
836.0,1911.8019,1257.4387,764.6226,277.74152,687.0,1909.0,0.0,0.0,0.0,0.0,589.4717,169.54402,599.0,888.0,0.0,0.0,0.0,0.0,93.179245,202.45056,1.0,1180.0,0.0,0.0,0.0,0.0,1020.8726,189.63383,1021.5,1458.0,0.0,0.0,0.0,0.0,122.320755,43.127728,118.0,239.0,0.0,0.0,0.0,0.0,346.63208,95.49442,341.5,581.0,0.0,0.0,0.0,0.0,1.3018868,2.2431018,1.0,25.0,0.0,0.0,0.0,0.0
837.0,1016.1244,863.06696,189.05263,49.688137,186.0,330.0,0.0,0.0,0.0,0.0,2241.7559,735.21014,2225.0,3783.0,0.0,0.0,0.0,0.0,167.10048,80.6824,173.0,389.0,0.0,0.0,0.0,0.0,1576.7751,328.8607,1441.0,2683.0,0.0,0.0,0.0,0.0,128.89473,49.208164,120.0,304.0,0.0,0.0,0.0,0.0,1088.311,1015.39197,695.0,4980.0,0.0,0.0,0.0,0.0,250.11961,434.87503,118.0,2927.0,0.0,0.0,0.0,0.0
838.0,886.761,1168.1854,206.27805,57.91184,194.0,413.0,0.0,0.0,0.0,0.0,1365.956,242.98087,1345.0,2279.0,0.0,0.0,0.0,0.0,221.49268,178.24611,188.0,657.0,0.0,0.0,0.0,0.0,1928.1073,282.99072,1847.0,2728.0,0.0,0.0,0.0,0.0,247.14635,65.63066,231.0,460.0,0.0,0.0,0.0,0.0,1088.7268,628.83234,849.0,3298.0,0.0,0.0,0.0,0.0,1014.3415,1013.66327,600.0,6543.0,0.0,0.0,0.0,0.0
839.0,1144.4878,935.8878,325.9317,148.77318,302.0,746.0,0.0,0.0,0.0,0.0,2265.9219,1030.8715,1902.0,4095.0,0.0,0.0,0.0,0.0,221.6878,108.57853,221.0,492.0,0.0,0.0,0.0,0.0,1814.9414,381.14584,1718.0,2950.0,0.0,0.0,0.0,0.0,498.5366,171.28682,514.0,868.0,0.0,0.0,0.0,0.0,2153.7805,1406.6051,1749.0,7080.0,0.0,0.0,0.0,0.0,1210.4196,826.2028,1079.0,4181.0,0.0,0.0,0.0,0.0
